WMO,Deployment Date,Last Date,Model,Last Cycle,Mean Latitude,Mean Longitude
4902620,2022-10-15 04:28:00,2026-07-05 04:47:00,PROVOR III,2026-07-05 04:47:00,-24.65965853658537,44.265902439024394
4902622,2024-04-13 11:37:00,2026-06-29 14:30:00,PROVOR III,2026-06-29 14:30:00,36.8018,-66.8709
4902623,2022-10-28 04:46:00,2026-06-30 08:34:00,PROVOR III,2026-06-30 08:34:00,-0.6195405405405406,59.47148648648649
4902624,2024-06-30 04:57:00,2026-07-01 12:45:00,PROVOR III,2026-07-01 12:45:00,49.12102564102564,-128.82902564102565
4902625,2024-07-03 00:23:00,2026-07-03 02:26:00,PROVOR III,2026-07-03 02:26:00,38.286675,-143.03704999999997
4902626,2022-10-18 02:04:00,2026-06-28 22:21:00,PROVOR III,2026-06-28 22:21:00,1.1745,60.41640000000001
4902627,2023-09-15 04:28:00,2026-07-01 01:18:00,PROVOR III,2026-07-01 01:18:00,40.4887,-46.495349999999995
4902628,2022-11-21 21:54:00,2026-07-02 08:27:00,PROVOR III,2026-07-02 08:27:00,-46.047102564102566,36.67464102564102
4902629,2025-05-05 23:37:00,2026-07-01 13:23:00,PROVOR III,2026-07-01 13:23:00,50.10080000000001,-137.185225
4902631,2024-05-07 16:31:00,2026-07-06 02:21:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-06 02:21:00,50.047463414634144,-141.05207317073172
4902632,2026-05-17 13:21:00,2026-07-07 13:19:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-07 13:19:00,43.86249999999999,-151.97066666666666
4902633,2023-05-09 01:22:00,2026-07-02 14:26:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-02 14:26:00,52.28017500000001,-147.86212500000002
4902634,2023-05-06 20:30:00,2026-06-30 01:10:00,ARVOR-D deep float with SBE conductivity sensor,2026-06-30 01:10:00,49.000375,-136.40162500000002
4902635,2023-07-11 13:33:00,2026-07-04 15:18:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-04 15:18:00,56.92317142857143,-142.68168571428572
4902636,2023-07-12 13:27:00,2026-07-06 13:36:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-06 13:36:00,55.40831707317073,-154.52807317073172
4902637,2023-07-13 13:29:00,2026-07-07 04:03:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-07 04:03:00,54.864378378378376,-158.7702162162162
4902638,2024-02-03 14:02:00,2026-07-03 03:27:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-03 03:27:00,-53.0036857142857,-39.057028571428575
4902639,2024-02-03 13:17:00,2026-07-02 20:54:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-02 20:54:00,-56.85644117647059,-12.290558823529413
4902640,2024-09-08 13:17:00,2026-07-01 13:34:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-01 13:34:00,49.144999999999996,-151.5931794871795
4902641,2024-09-07 13:18:00,2026-06-30 13:32:00,ARVOR-D deep float with SBE conductivity sensor,2026-06-30 13:32:00,48.333225,-144.9405
4902642,2024-06-29 17:14:00,2026-06-19 21:52:00,ARVOR-D deep float with SBE conductivity sensor,2026-06-19 21:52:00,46.641000000000005,-131.86952631578947
4902643,2024-06-30 12:42:00,2026-06-30 21:53:00,ARVOR-D deep float with SBE conductivity sensor,2026-06-30 21:53:00,43.204689655172416,-131.9763448275862
4902645,2025-05-16 13:15:00,2026-07-01 03:29:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-01 03:29:00,48.57520512820513,-138.8946153846154
4902646,2025-05-16 18:57:00,2026-07-01 13:34:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-01 13:34:00,48.107076923076924,-142.84561538461537
4902647,2025-05-21 06:20:00,2026-07-05 06:33:00,ARVOR-D deep float with SBE conductivity sensor,2026-07-05 06:33:00,43.849575,-147.15097500000002
4902649,2024-06-26 03:50:00,2026-07-02 02:23:00,ARVOR float with SBE conductivity sensor,2026-07-02 02:23:00,-33.6854,45.713
4902651,2024-07-12 11:29:00,2026-06-29 01:01:00,ARVOR float with SBE conductivity sensor,2026-06-29 01:01:00,42.1258205128205,-60.852102564102566
4902652,2023-06-03 22:10:00,2026-07-02 04:09:00,ARVOR float with SBE conductivity sensor,2026-07-02 04:09:00,57.18510810810811,-44.75486486486488
4902654,2024-04-17 12:56:00,2026-07-01 04:08:00,ARVOR float with SBE conductivity sensor,2026-07-01 04:08:00,-41.89733333333332,29.808820512820514
4902655,2024-06-23 03:57:00,2026-06-29 12:31:00,ARVOR float with SBE conductivity sensor,2026-06-29 12:31:00,-37.77235897435897,34.78846153846155
4902656,2024-06-26 07:30:00,2026-07-02 14:56:00,ARVOR float with SBE conductivity sensor,2026-07-02 14:56:00,-33.49764102564102,39.89661538461538
4902657,2024-04-18 15:18:00,2026-07-02 03:52:00,ARVOR float with SBE conductivity sensor,2026-07-02 03:52:00,-42.5166923076923,64.08530769230768
4902658,2023-12-08 07:20:00,2026-07-07 05:57:00,ARVOR float with SBE conductivity sensor,2026-07-07 05:57:00,-18.088897435897437,-1.0606666666666666
